Model,Type,AIC,BIC,R2_conditional,R2_marginal,RMSE,Sigma,BF,Performance_Score
glm_leaf_m3,glmmTMB,370.3295229863213,391.76776269838626,NA,7.469911126470666e-4,2.4268579606900484,0.352837315016559,0.0014792593317233588,0.8
glm_leaf_m2,glmmTMB,370.7651786369743,385.0573384450176,NA,5.212698472318495e-4,2.5153147666441327,0.36670970354147364,0.042383266980344385,0.5674589955859956
glm_leaf_m5,glmmTMB,370.7651786369743,385.0573384450176,NA,5.212698472318495e-4,2.5153147666441327,0.36670970354147364,0.042383266980344385,0.5674589955859956
glm_leaf_m4,glmmTMB,372.01772391926727,386.30988372731053,NA,4.159519192833928e-4,2.5118892600937808,0.3694672212027573,0.022657275092828045,0.3469528368855871
glm_leaf_m1,glmmTMB,371.58925525834053,378.73533516236216,NA,1.9420145721071131e-4,2.592218666246244,0.3819635890698286,1,0.250760386701013
