contrast,ratio,SE,df,t.ratio,p.value
Fragment / Primary,1.4468957580035602,0.28586372165268237,74,1.8698168966192361,0.2498890435411033
Fragment / (Primary-High elev.),1.4892255073730998,0.3023356943870186,74,1.9617044539529414,0.21190503231096924
Fragment / Secondary,2.583547904961185,0.8033028783093382,74,3.0526588731102113,0.01628411586099532
Primary / (Primary-High elev.),1.0292555625623967,0.24260107165125225,74,0.12233826123634214,0.9993395803186422
Primary / Secondary,1.785579846143158,0.5939824969513015,74,1.7427748971520542,0.30929405281901645
(Primary-High elev.) / Secondary,1.7348265203423767,0.5814682877400595,74,1.643647336984979,0.3608964168036416
