contrast,ratio,SE,df,z.ratio,p.value
Fragment / Secondary,2.142262113207196,0.5976619571875823,Inf,2.730822652841765,0.032065814749167476
Fragment / Primary,1.586892868521165,0.3512405611150554,Inf,2.086296945194809,0.15752393848955515
(Primary-High elev.) / Secondary,1.7461391145858192,0.50869481585192,Inf,1.9133483629608323,0.2223255728680955
Fragment / (Primary-High elev.),1.226856494601426,0.22915484109578407,Inf,1.0946187823623748,0.6928401901222914
Primary / (Primary-High elev.),0.7731186641129347,0.1829988143274541,Inf,-1.0871163662678993,0.697437801088792
Primary / Secondary,1.3499727396239312,0.4247026512267384,Inf,0.9538573813300634,0.7756084687080813
