Model,Type,AIC,BIC,R2_conditional,R2_marginal,RMSE,Sigma,BF,Performance_Score
glm_invertebrates_guild_suc_m1,glmmTMB,296.4570995965974,307.17277322855506,NA,0.0012597616455062753,2.744792846434956,0.4684619158458667,1,0.7953541554543809
glm_invertebrates_guild_suc_m3,glmmTMB,297.106178723712,309.96498708206116,NA,0.0014089306839063453,2.7236779654869996,0.4637989204434944,0.24755885512625578,0.7469320331950658
glm_invertebrates_guild_suc_m2,glmmTMB,298.06562578527166,302.35189523805474,NA,0,2.877832688508,0.49548806190801453,11.138849974131317,0.26848873916975746
glm_invertebrates_guild_suc_m4,glmmTMB,298.90331778129047,305.33272196046505,NA,1.5696898814469335e-4,2.854588421239578,0.49127478899661026,2.509354714023521,0.20072242203551166
