contrast,estimate,SE,df,z.ratio,p.value
Fragment - Secondary,1.4562566894705753,0.36585188026235227,Inf,3.980454298680368,4.00013489597173e-4
Primary - Secondary,0.7968679940308168,0.2921414424120558,Inf,2.7276787142950467,0.03235285234149221
Fragment - (Primary-High elev.),0.9517711189284228,0.39619269336627283,Inf,2.402293466953284,0.076618678131401885
(Primary-High elev.) - Secondary,0.5044855705421525,0.2612588390210219,Inf,1.9309799141439175,0.21500362387142136
Fragment - Primary,0.6593886954397585,0.4172038970153629,Inf,1.5804950532748199,0.3897731849254632
Primary - (Primary-High elev.),0.2923824234886643,0.32934430974273626,Inf,0.8877712923507184,0.8112329661776914
