contrast,odds.ratio,SE,df,t.ratio,p.value
(Primary-High elev.) / Secondary,0.6397479518910659,0.08395739356045286,71,-3.403669959419839,0.005909801706305617
Fragment / Secondary,0.6567579190741228,0.08588001765414781,71,-3.2152667264291597,0.010353351837479652
Primary / Secondary,0.7650625081659596,0.09730890028533484,71,-2.1054806793255403,0.16129844234190982
Primary / (Primary-High elev.),1.1958811371016813,0.16595027179909166,71,1.2890796881743591,0.5728594836316745
Fragment / Primary,0.858436940856677,0.1194279317506185,71,-1.0971769836240335,0.6924090651033663
Fragment / (Primary-High elev.),1.0265885449617715,0.14535432737120146,71,0.1853328277696737,0.9977202533606819
