Model,Type,AIC,BIC,R2_Nagelkerke,RMSE,Sigma,BF,Performance_Score
glm_invertebrates_guild_pre_m1,glm,716.6430911983002,728.5532243716697,1,20.03700445569021,20.557532812171928,1,0.5
glm_invertebrates_guild_pre_m2,glm,716.8258965264766,731.1180563345199,1,19.81072227339235,20.460425984317045,0.2773663782938925,0.5
