Plot,Treatment,PlotFL,Spec,Hab,TreeID,Frame,LeafAreaF1,WeightFrame,WeightTot,TotLeafArea,LA_cm,LA_W_ratio,leaf_area_total
WA1,EXP,Wanang1,HAH,Primary,3,Exp_3_WA1_PTB.jpg,3817.829685074627,55.6,70.89999999999999,4868.41950848545,0.3817829685074627,0.006866600153011919,0.486841950848545
WA1,EXP,Wanang1,BER,Primary,4,Exp_4_WA1_PTB.jpg,2413.3693353233834,64.2,57.7,2169.025087977558,0.24133693353233834,0.0037591422668588523,0.2169025087977558
WA1,EXP,Wanang1,HAH,Primary,5,Exp_5_WA1_PTB.jpg,4127.347041293531,65.8,69.3,4346.886777532549,0.41273470412935315,0.006272563892543361,0.4346886777532549
WA1,EXP,Wanang1,SYZ,Primary,6,Exp_6_WA1_PTB.jpg,4594.423562686567,85.7,57.300000000000004,3071.8841323446936,0.45944235626865665,0.005361054332189692,0.3071884132344694
WA1,EXP,Wanang1,SYZ,Primary,7,Exp_7_WA1_PTB.jpg,5599.317678109453,104.2,55.800000000000004,2998.4829792563096,0.5599317678109452,0.005373625410853601,0.29984829792563095
WA1,EXP,Wanang1,HAH,Primary,8,Exp_8_WA1_PTB.jpg,10707.815507401461,116.8,94.8,8690.932449500502,1.0707815507401461,0.009167650263186182,0.86909324495005
WA1,EXP,Wanang1,BER,Primary,9,Exp_9_WA1_PTB.jpg,6689.271253731345,125,54.2,2900.468015617911,0.6689271253731345,0.0053514170029850755,0.29004680156179113
WA1,EXP,Wanang1,BER,Primary,10,Exp_5_WA1_PTB.jpg,130.10205572139304,23.3,485.9,2713.1583208165184,0.013010205572139305,5.583779215510431e-4,0.27131583208165183
WA3,CON,Wanang3,SYZ,Secondary,1,Con_1_N1_PTB.tif,2964.305741791044,75.8,122.7,4798.421035854368,0.2964305741791044,0.003910693590753357,0.4798421035854369
WA3,CON,Wanang3,HAH,Secondary,2,Con_2_N1_PTB.jpg,4915.560147761195,110.5,150.7,6703.845377987439,0.49155601477611954,0.004448470721955833,0.670384537798744
WA3,CON,Wanang3,HAH,Secondary,3,Con_3_N1_PTB.jpg,3356.3982457711445,86.9,234.4,9053.391815981084,0.33563982457711444,0.0038623685221762303,0.9053391815981084
WA3,CON,Wanang3,SYZ,Secondary,4,Con_4_N1_PTB.jpg,1302.7712089552242,24.6,423.20000000000005,22411.90144836792,0.13027712089552243,0.005295817922582212,2.2411901448367924
WA3,CON,Wanang3,LIT,Secondary,5,Con_5_N1_PTB.jpg,4068.5059726368154,98.7,144,5935.81418500204,0.40685059726368156,0.004122093184029195,0.5935814185002041
