contrast,odds.ratio,SE,df,t.ratio,p.value
Primary LIT / (Primary-High elev. LIT),1.6939848308185652,1.1045197680025116,63,0.8083800029685068,0.9999787951337908
Primary BER / Secondary HAH,0.6926641214649587,0.3203933642608049,63,-0.7938779926336288,0.9999832211787656
(Primary-High elev. LIT) / Secondary LIT,0.666107118280481,0.3593129104995639,63,-0.7532223316122827,0.999991556504261
(Primary-High elev. HAH) / (Primary-High elev. SYZ),0.6804448168008657,0.3500704426727564,63,-0.7483553077117827,0.9999922473288776
(Primary-High elev. BER) / (Primary-High elev. LIT),0.6839750962155107,0.35196143983127853,63,-0.7381400650991278,0.9999935337948025
Secondary BER / Fragment SYZ,1.4549353804620295,0.7401589401760515,63,0.7370643046834322,0.9999936573401936
Secondary BER / Secondary SYZ,1.4781685658098194,0.784156866497573,63,0.7366816701380848,0.9999937007657624
Primary LIT / (Primary-High elev. SYZ),1.5614266063309235,0.9528497745588157,63,0.7302006568029646,0.9999943965566104
Primary BER / (Primary-High elev. LIT),0.6903048528590428,0.3550014026139448,63,-0.7206792364945457,0.9999952929639988
Secondary BER / (Primary-High elev. HAH),1.46953149194446,0.8237993256616136,63,0.6866803353861112,0.9999975340155531
Secondary BER / Primary LIT,0.6403983912948182,0.415998470122529,63,-0.6860674925778538,0.9999975634558763
Secondary LIT / (Primary-High elev. SYZ),1.3837829767395406,0.6754418867455709,63,0.665463349520857,0.999998385476884
Fragment BER / Primary HAH,0.7196834943929347,0.3648126829495224,63,-0.648923137641637,0.9999988527148638
Fragment HAH / Primary HAH,0.7519775173039217,0.33838713369556517,63,-0.6334470409935219,0.9999991745424726
Secondary HAH / Secondary SYZ,1.3579458337910695,0.656792554692032,63,0.632612154179894,0.9999991892930677
Secondary HAH / Fragment SYZ,1.336602255001432,0.6144203759443759,63,0.6311467645537147,0.9999992146023927
Primary HAH / Primary LIT,0.6873220146160544,0.41847431252800776,63,-0.6158395178893878,0.9999994390721474
Secondary BER / Secondary LIT,0.7226097615214856,0.3876777185237831,63,-0.6055693910129354,0.9999995549466861
(Primary-High elev. HAH) / Secondary HAH,0.7407345776515605,0.3825873383548291,63,-0.581054283080746,0.9999997486571659
(Primary-High elev. LIT) / Secondary SYZ,1.3625869122376841,0.7267188881851299,63,0.5800922550097243,0.999999754369564
(Primary-High elev. LIT) / Fragment SYZ,1.3411703870749079,0.6862667799359521,63,0.5736700784614581,0.9999997895559443
(Primary-High elev. HAH) / (Primary-High elev. LIT),0.7382115772820977,0.4158204469919281,63,-0.5388516292274872,0.999999912212419
(Primary-High elev. BER) / Fragment HAH,0.7812061643560619,0.36458054541861984,63,-0.5290804774186635,0.9999999321049418
Primary HAH / Secondary LIT,0.7755572216007107,0.3772166854281928,63,-0.5225805503095183,0.9999999429434248
Primary BER / Fragment HAH,0.7884357329999515,0.3676836432311187,63,-0.509717066697284,0.9999999598523758
Fragment BER / (Primary-High elev. SYZ),0.7723663994024325,0.392740508720746,63,-0.5079672848317937,0.9999999617560822
Fragment HAH / (Primary-High elev. SYZ),0.8070244378211383,0.3646023707997112,63,-0.47456386944335965,0.9999999854276262
Fragment BER / Secondary BER,0.7724165394168693,0.4287688780990005,63,-0.46519733446499434,0.999999989031569
Secondary BER / Fragment HAH,1.2390394143688466,0.6240692605502722,63,0.4255477414828613,0.9999999969390154
Fragment BER / (Primary-High elev. BER),1.2250985467284126,0.6391684175688197,63,0.3891323114655759,0.9999999991584965
Fragment BER / Primary BER,1.2138649944318893,0.6329358425823352,63,0.3716941380149025,0.9999999995672748
Fragment HAH / Secondary SYZ,1.1929955969663666,0.5813662728895115,63,0.36212092706528226,0.9999999997038899
Primary HAH / Secondary HAH,1.1682923625398156,0.5209266584309823,63,0.34883968212173927,0.9999999998282001
Fragment HAH / Fragment SYZ,1.1742446314374575,0.5443009678442946,63,0.3465235999374119,0.9999999998441322
Fragment BER / Secondary HAH,0.8408007299452317,0.4292814221553375,63,-0.3396264925135546,0.9999999998837855
Fragment HAH / (Primary-High elev. HAH),1.1860248147901118,0.6166365324214005,63,0.32814209012394285,0.9999999999297321
Fragment BER / (Primary-High elev. LIT),0.8379368963720482,0.4674374518781255,63,-0.316957281626791,0.9999999999577542
Primary HAH / (Primary-High elev. LIT),1.164313066647252,0.5813734941781035,63,0.3046723460057619,0.99999999997638
Fragment HAH / Secondary HAH,0.8785295902678237,0.3989639267733126,63,-0.2851751059151112,0.9999999999911285
Fragment HAH / (Primary-High elev. LIT),0.8755372492219162,0.44363552831438297,63,-0.26231959938369775,0.999999999997521
Fragment BER / Fragment HAH,0.9570545366478889,0.49198636084845376,63,-0.0853881702732418,1
Fragment BER / (Primary-High elev. HAH),1.1350904295718487,0.6468281743004101,63,0.2223619023328996,1
Fragment BER / Fragment SYZ,1.123816151651647,0.5831666682745312,63,0.22494984668296966,1
Fragment BER / Secondary SYZ,1.1417618482776175,0.6168546884644217,63,0.24538401494006787,1
Primary BER / (Primary-High elev. BER),1.0092543671232406,0.47903657340200156,63,0.019407823550351967,1
Primary BER / (Primary-High elev. HAH),0.9351043442051736,0.4929114168739898,63,-0.12729030335225455,1
Primary BER / Fragment SYZ,0.9258164267086497,0.4366167807641198,63,-0.1634414708429607,1
Primary BER / Secondary SYZ,0.9406003579598919,0.46558527901571384,63,-0.12371412895809651,1
(Primary-High elev. BER) / (Primary-High elev. HAH),0.9265298963932921,0.4886694119484323,63,-0.1446837807636538,1
(Primary-High elev. BER) / Fragment SYZ,0.9173271445409538,0.43292082149472366,63,-0.18284447941731646,1
(Primary-High elev. BER) / Secondary SYZ,0.9319755143997656,0.46161344955193,63,-0.1422326358350046,1
Secondary BER / Primary HAH,0.9317297826587904,0.46232849999682407,63,-0.14250664953331227,1
Secondary BER / Secondary HAH,1.0885327890311471,0.544291659251878,63,0.1696535734604795,1
Secondary BER / (Primary-High elev. LIT),1.084825160534034,0.5947139660703314,63,0.14851710594734435,1
Secondary BER / (Primary-High elev. SYZ),0.9999350868192508,0.49782699577205625,63,-1.3038881859425193e-4,1
Primary HAH / (Primary-High elev. SYZ),1.073202880738479,0.47590728788147996,63,0.15931490861375977,1
(Primary-High elev. HAH) / Fragment SYZ,0.9900675068466093,0.5194555311119345,63,-0.01902569367609162,1
(Primary-High elev. HAH) / Secondary SYZ,1.005877433666924,0.5489938691950687,63,0.010737227447270641,1
Secondary HAH / (Primary-High elev. LIT),0.9965939211620689,0.5013833633207238,63,-0.006781779777815984,1
Secondary HAH / (Primary-High elev. SYZ),0.9186081456574652,0.4112744127246508,63,-0.18961993187488843,1
Primary LIT / Secondary LIT,1.1283753540674026,0.7243744433772102,63,0.18814010955393018,1
(Primary-High elev. LIT) / (Primary-High elev. SYZ),0.9217476909615613,0.46175923050587603,63,-0.16265501720813486,1
Fragment SYZ / Secondary SYZ,1.0159685341766944,0.500238804064877,63,0.03217534866938483,1
