Model,Type,AIC,BIC,R2_conditional,R2_marginal,RMSE,Sigma,BF,Statistic,Performance_Score
glm_invertebrates_guild_pre_m2,glmmTMB,716.7744794977082,731.0666393057514,NA,0.11465641755380003,19.804356993157796,19.8043199252275,0.2979739793001773,1.9605284065262367,0.6
glm_invertebrates_guild_pre_m1,glmmTMB,716.7350079042344,728.6451410776039,NA,0.10355364388942635,20.048518609226868,20.048505685393827,1,NA,0.4
