contrast,ratio,SE,df,t.ratio,p.value
(Primary-High elev.) / Secondary,1.814539326446953,0.5190886331692885,73,2.082804051033484,0.16840255600862508
Primary / (Primary-High elev.),0.6222609574262818,0.1728984638170965,73,-1.707348542691218,0.32733239043860995
Fragment / Secondary,1.4111514478131792,0.4086446027858168,73,1.1893195782569963,0.6355009084367435
Fragment / (Primary-High elev.),0.777691300070279,0.21666048240968702,73,-0.9024789162346853,0.8035379641714957
Fragment / Primary,1.2497832152074408,0.35194825389454865,73,0.7917763362581126,0.857959309097481
Primary / Secondary,1.1291169785625215,0.32461841195969804,73,0.42238925089067536,0.9744803891590497
