contrast,odds.ratio,SE,df,t.ratio,p.value
HAH Primary / SYZ Secondary,2.712141053915928,1.4489692404856602,59,1.8675394516300172,0.8797406011929649
LIT Fragment / LIT Secondary,0.25546838975557806,0.19002560094106555,59,-1.8346297628365444,0.8933127015044591
BER Fragment / LIT Primary,0.23268990315917235,0.2039778782135314,59,-1.6632842267263266,0.9481528236052488
LIT Primary / SYZ Primary,3.5312933050018662,2.7431084798804464,59,1.624181581534306,0.9571338221863726
(LIT Primary-High elev.) / SYZ Secondary,2.6116601119711023,1.6165457941304873,59,1.5509349350922184,0.9708340251685943
BER Fragment / LIT Fragment,3.0641457172019684,2.2911985625242104,59,1.497528348346156,0.9785264066651009
BER Primary / (SYZ Primary-High elev.),0.4346172761164086,0.24509042168912945,59,-1.4776668664028503,0.9809487426289095
(HAH Primary-High elev.) / SYZ Secondary,0.374439385876783,0.2515333084919129,59,-1.46231646304144,0.9826710754920962
SYZ Fragment / LIT Primary,0.32829809153437756,0.2553097606496756,59,-1.4322575648191995,0.9856897548750647
HAH Fragment / LIT Primary,0.3177640242586024,0.2575421797015316,59,-1.4145231249245982,0.9872655378182762
LIT Primary / LIT Secondary,3.364101156613427,3.031510909302293,59,1.3462579594448922,0.9920916799815753
LIT Primary / (SYZ Primary-High elev.),2.7864648826467535,2.1601551475671563,59,1.3218939395853204,0.9934015858408949
SYZ Fragment / BER Primary,2.1048199263378415,1.191980661234693,59,1.3141739725236397,0.9937774600242881
LIT Fragment / (HAH Primary-High elev.),0.39706843123995716,0.29535818550938925,59,-1.2417157920737205,0.9965225999819163
HAH Fragment / BER Primary,2.0372827846998645,1.2385062532643851,59,1.1705754098578869,0.9981496093581189
BER Fragment / SYZ Secondary,0.4555712393953235,0.30844158886708084,59,-1.161229770436989,0.9983048395311118
LIT Fragment / BER Primary,0.4868719033255431,0.3162180235163712,59,-1.1081851199628754,0.9989918854479896
SYZ Primary / SYZ Secondary,0.5544277623809798,0.304114946382027,59,-1.0752904352216572,0.9992841887202978
BER Primary / SYZ Primary,0.5507914658986163,0.3120758140525248,59,-1.0526015414399543,0.9994401387313387
LIT Primary / (BER Primary-High elev.),0.4794653855603199,0.3635172319252723,59,-0.9695472433595647,0.9997881084458586
BER Primary / LIT Secondary,0.5247137655934135,0.35943443074516185,59,-0.9414489093851494,0.9998516533296538
(HAH Primary-High elev.) / (SYZ Primary-High elev.),0.5329130290720157,0.3572953287963995,59,-0.9387580983123085,0.9998567461545054
LIT Primary / SYZ Secondary,1.9578470454031196,1.5208413669924814,59,0.8648966325448973,0.9999481790599366
SYZ Fragment / SYZ Secondary,0.642757448522064,0.3488025295656846,59,-0.8144751114232807,0.999975867258417
HAH Primary / (BER Primary-High elev.),0.6641876132065393,0.33460672664314084,59,-0.812235138175685,0.9999767064554603
LIT Secondary / SYZ Secondary,0.5819822158302889,0.3900083284679615,59,-0.8077671844140595,0.9999783025006548
LIT Primary / HAH Secondary,0.5420415178169092,0.4127123800533143,59,-0.8043206704771189,0.9999794657536591
SYZ Fragment / (HAH Primary-High elev.),1.7165861091695533,1.1543420793500887,59,0.8035190436888328,0.9999797281434417
HAH Fragment / SYZ Secondary,0.62213335603011,0.3675913385416226,59,-0.8032425251314445,0.9999798179521326
(BER Primary-High elev.) / (LIT Primary-High elev.),1.5635250535443332,0.9275077944332601,59,0.7534238094098135,0.9999912318092696
LIT Primary / BER Secondary,0.569475399230177,0.46068501857787175,59,-0.6960010455888294,0.99999693707349
HAH Fragment / (HAH Primary-High elev.),1.661506186303905,1.2656128995919094,59,0.6665446056567873,0.9999982883353916
(SYZ Primary-High elev.) / SYZ Secondary,0.7026275685711989,0.3797654814236316,59,-0.6529744456398686,0.9999987045994656
BER Fragment / (SYZ Primary-High elev.),0.6483822436995076,0.43819313086630907,59,-0.641104835612489,0.9999989906186262
SYZ Primary / (HAH Primary-High elev.),1.4806876180579618,0.99607076427365,59,0.5834722428788447,0.9999997233279048
BER Fragment / BER Primary,1.4918464574009336,1.03490400396199,59,0.5766335240699753,0.99999976504584
(HAH Primary-High elev.) / LIT Secondary,0.6433863023504705,0.4986668102896013,59,-0.5689966881140287,0.9999998047646455
HAH Primary / HAH Secondary,0.7508722690313381,0.3819297257909645,59,-0.5632965959526728,0.9999998302868699
(LIT Primary-High elev.) / HAH Secondary,0.7230535268005159,0.4321012417960849,59,-0.5426182774516333,0.9999998993248502
BER Fragment / SYZ Fragment,0.7087762894741236,0.48033437629057535,59,-0.5079204774082406,0.9999999602445987
BER Fragment / HAH Fragment,0.732272646980971,0.5217345763510438,59,-0.43734477177655523,0.9999999952742582
SYZ Primary / (SYZ Primary-High elev.),0.7890777236486962,0.42956387091480397,59,-0.4351506092473481,0.9999999956032081
HAH Primary / LIT Primary,1.3852670770598936,1.062325082452051,59,0.4249629333831612,0.9999999968713196
(LIT Primary-High elev.) / BER Secondary,0.7596488134301844,0.4990717906114551,59,-0.4184302409896784,0.9999999974964069
HAH Primary / BER Secondary,0.7888755217491032,0.4555914142639812,59,-0.41062946002142064,0.9999999980909589
LIT Primary / (LIT Primary-High elev.),0.7496561426308536,0.6042861369262774,59,-0.3574571681700543,0.9999999997441165
BER Fragment / LIT Secondary,0.7827923723500378,0.6099902724042737,59,-0.314261228189571,0.9999999999610747
(BER Primary-High elev.) / BER Secondary,1.1877299516933182,0.6654791473424918,59,0.3070594655448012,0.9999999999723321
BER Primary / (HAH Primary-High elev.),0.8155501036880751,0.5589319915051111,59,-0.29750396552642155,0.9999999999826216
BER Fragment / SYZ Primary,0.8216962971675178,0.5572112998881988,59,-0.2895999256751693,0.999999999988342
(SYZ Primary-High elev.) / LIT Secondary,1.2073007550046706,0.807335292194469,59,0.2817167467245141,0.9999999999922857
SYZ Fragment / SYZ Primary,1.1593168526802373,0.63506145115272306,59,0.2698681628002313,0.9999999999959583
BER Fragment / (HAH Primary-High elev.),1.216675533020019,0.9480935445665774,59,0.2516809049106476,0.999999999998659
(BER Primary-High elev.) / HAH Secondary,1.1305123042061955,0.5583768383827282,59,0.2483644527714227,0.9999999999989388
HAH Fragment / SYZ Fragment,0.9679131023072912,0.5727707943962809,59,-0.05511195312622337,1
HAH Fragment / SYZ Primary,1.1221179714348533,0.6638820295814595,59,0.19474563471453202,1
HAH Fragment / (SYZ Primary-High elev.),0.8854382945651068,0.5217119495003469,59,-0.20649996324770015,1
HAH Fragment / LIT Secondary,1.0689903215385013,0.7557116981619166,59,0.0943709600202583,1
SYZ Fragment / (SYZ Primary-High elev.),0.9147911031004925,0.4970702065555459,59,-0.16390215296310287,1
SYZ Fragment / LIT Secondary,1.1044279894447802,0.7409829932747789,59,0.14804674476276447,1
HAH Primary / (LIT Primary-High elev.),1.0384739735022372,0.6282927934529428,59,0.06239890682386315,1
SYZ Primary / LIT Secondary,0.9526541315184377,0.6391000192937639,59,-0.07230000276279387,1
BER Secondary / HAH Secondary,0.9518260464800531,0.541619297235369,59,-0.08676665236925814,1
