Model,Type,AIC,BIC,RMSE,Sigma,BF,Statistic,Performance_Score
glm_invertebrates_guild_suc_m1,glmmTMB,-344.5351789822062,-337.3890990781846,9.074733486416612,4.682843874277094,1,NA,0.5
glm_invertebrates_guild_suc_m2,glmmTMB,-343.44064028504357,-333.91253374634806,8.960778260996994,4.629246466887269,0.1758220867568163,0.9054613028373524,0.5
