contrast,ratio,SE,df,z.ratio,p.value
Fragment / Secondary,2.5590255936958317,0.8280332884295998,Inf,2.9039030743100707,0.019303418270587347
Fragment / Primary,1.4654401867386233,0.3061904439770103,Inf,1.8290128960921148,0.2595988760260819
Fragment / (Primary-High elev.),1.4370346894734636,0.29629682233311805,Inf,1.758515478229094,0.29356206918120753
(Primary-High elev.) / Secondary,1.7807681418139398,0.6155188816926108,Inf,1.6694581553747947,0.3399346377155832
Primary / Secondary,1.7462504555651721,0.6064696694107892,Inf,1.605164856616107,0.3756284373804504
Primary / (Primary-High elev.),0.980616406236015,0.23703531717194307,Inf,-0.0809774105569435,0.9998097480168567
