Model,Type,AIC,BIC,R2_conditional,R2_marginal,RMSE,Sigma,BF,Statistic,Performance_Score
glm_invertebrates_guild_chew_m2,glmmTMB,502.1040316875312,509.2873791515485,NA,1.1909387196458302e-4,5.445024543449558,1.4390187087864474,0.13988078391161687,0.4605196294116922,0.6
glm_invertebrates_guild_chew_m1,glmmTMB,500.56455131694287,505.3534496262877,NA,0,5.553648781101694,1.4417902848033317,1,NA,0.4
