Treatment,response,SE,df,lower.CL,upper.CL
CON,12.769487660592361,1.8531564389695188,73,9.562290145730678,17.052381033096207
EXP,22.291348580306455,3.0932441181717754,73,16.905545940224332,29.392970998139614
