contrast,estimate,SE,df,t.ratio,p.value
Primary - Secondary,-0.017621544132449103,0.01281731006604318,71,-1.3748238937539439,0.5191502943172805
(Primary-High elev.) - Secondary,-0.010778971821747764,0.013125795717138053,71,-0.8212052095000919,0.8442516798566598
Fragment - Secondary,-0.009594869067401167,0.013120565619253533,71,-0.7312847133145962,0.8842126221129294
Fragment - Primary,0.008026675065047938,0.012174207222926914,71,0.659318090949841,0.911917842091897
Primary - (Primary-High elev.),-0.006842572310701341,0.012120594146534217,71,-0.5645409975762548,0.942234540410297
Fragment - (Primary-High elev.),0.0011841027543465972,0.01250800959597161,71,0.09466756043487168,0.9996931450186739
