Model,Type,AIC,BIC,R2_conditional,R2_marginal,RMSE,Sigma,BF,Statistic,Performance_Score
glm_invertebrates_guild_chew_m1,glmmTMB,-121.2199045124656,-80.72545172300963,NA,0.4527489946361067,0.15028417027687954,6.632364338829411,1,NA,0.6
glm_invertebrates_guild_chew_m2,glmmTMB,-121.33792515898796,-78.4614457348581,NA,0.43091743130440463,0.14976529016151177,6.668241007182512,0.3223868702932661,2.1180206465223534,0.4
