Model,Type,AIC,BIC,R2_conditional,R2_marginal,RMSE,Sigma,BF,Statistic,Performance_Score
glm_leaf_m1,glmmTMB,29.095029446031646,41.06727521939384,NA,0.21685355682452195,0.34823055838353467,0.5482050905470192,1,NA,0.6
glm_leaf_m2,glmmTMB,30.687074469364592,45.05376939739922,NA,0.2190189774741834,0.3487873503381377,0.5469495044281885,0.1362522830835459,0.40795497666705316,0.4
