Spec,response,SE,df,lower.CL,upper.CL
BER,6.838809605597156,0.4382362428733113,71,6.063992415698387,7.840634467631372
HAH,6.88651455489047,0.4218202471293433,71,6.136974124891138,7.844618426417174
LIT,7.680727492763436,0.5928410262087138,71,6.65629923348943,9.07783945278411
SYZ,7.446257290800403,0.43525212850807554,71,6.668981410315581,8.428620744424954
