Spec,response,SE,df,lower.CL,upper.CL
BER,0.05342132584607378,0.005448326805160574,72,0.043545487680609445,0.06538382840658034
HAH,0.06611489807979132,0.005762168159408657,72,0.05551444087040661,0.07857111988073288
LIT,0.0876604958601099,0.00827235181508726,72,0.07251149858034864,0.1056140087551574
SYZ,0.08044020278087534,0.005961048362438289,72,0.06932981504603687,0.0931528630426728
