contrast,odds.ratio,SE,df,t.ratio,p.value
Fragment BER / (Primary-High elev. HAH),1.4225300746214693,0.5718723758580598,62,0.8766855930838445,0.9999399934263984
(Primary-High elev. BER) / Secondary HAH,0.7530184021940984,0.24447528560392856,62,-0.8737301445951348,0.9999424857218828
Primary HAH / Primary LIT,0.6608077169146716,0.3134005287862839,62,-0.8735390523006307,0.9999426436410137
Fragment BER / Primary BER,1.371270407441434,0.49905581485088013,62,0.8675615730549067,0.999947392168442
(Primary-High elev. BER) / Fragment LIT,0.738645189122786,0.26568034380645933,62,-0.8422279002947693,0.999963855098192
(Primary-High elev. HAH) / Secondary HAH,0.7378526572447559,0.2718180153834045,62,-0.8252411697075088,0.9999721353385791
(Primary-High elev. BER) / Secondary LIT,0.7432516286127346,0.26843990224137765,62,-0.8215547934681883,0.9999736896055309
Primary BER / Secondary HAH,0.7654344393885424,0.24984453250409674,62,-0.8189476397685101,0.9999747413782515
(Primary-High elev. HAH) / Fragment LIT,0.7237689198129591,0.2893108396913537,62,-0.8087573452004598,0.9999784997131524
Primary BER / Fragment LIT,0.7508242356307114,0.2713460622066381,62,-0.7929873093751886,0.9999833322108196
(Primary-High elev. HAH) / Secondary LIT,0.7282825858909624,0.2920081661635763,62,-0.7907783895328285,0.9999839245242546
Primary BER / Secondary LIT,0.7555066277452899,0.27406734899035523,62,-0.7728717756797175,0.9999880694845721
(Primary-High elev. BER) / (Primary-High elev. LIT),0.75922162274431,0.2731781911541819,62,-0.7655675768662744,0.99998946274933
(Primary-High elev. HAH) / (Primary-High elev. LIT),0.743930945309314,0.29750700218657405,62,-0.7396801657096437,0.999993298002243
Primary BER / (Primary-High elev. LIT),0.7717399408615739,0.27905954381591425,62,-0.716562922948706,0.9999956017315474
(Primary-High elev. BER) / Secondary SYZ,0.8211000069336217,0.2668970985843976,62,-0.6064034551235304,0.9999995423029162
Primary BER / Primary HAH,1.2304116440275505,0.4224583635831493,62,0.6039041462633066,0.9999995676197919
(Primary-High elev. HAH) / Secondary SYZ,0.804563102594,0.296858258779216,62,-0.5893619974610009,0.9999996912048128
(Primary-High elev. BER) / Primary HAH,1.2104532570637674,0.41402182275809296,62,0.5584014281116321,0.9999998541158822
Primary BER / Secondary SYZ,0.8346385980181703,0.2729684390369425,62,-0.552687785819436,0.9999998736305789
Secondary BER / Secondary SYZ,1.2160770431330883,0.43194574225396454,62,0.5507666777764204,0.9999998796331302
Fragment HAH / Fragment SYZ,1.1751488371091439,0.35068248343012176,62,0.5408394533725177,0.999999906687935
(Primary-High elev. HAH) / Primary LIT,0.7837673819209681,0.3900705656756004,62,-0.48955102075763013,0.9999999771093875
(Primary-High elev. BER) / Primary LIT,0.7998768532322361,0.37327195301642874,62,-0.4784996501612016,0.9999999834501956
Primary HAH / (Primary-High elev. HAH),0.8431171443943871,0.32329136331727293,62,-0.44503944513459837,0.9999999941201644
Primary BER / Primary LIT,0.8130655093550733,0.3800972081546813,62,-0.4426728114960849,0.999999994552653
(Primary-High elev. SYZ) / Secondary SYZ,1.143618859513243,0.3634137682239886,62,0.42230372870867516,0.999999997230725
Fragment BER / Secondary SYZ,1.1445152103707237,0.4100142129306392,62,0.3767868887240795,0.9999999994673341
Secondary BER / Primary LIT,1.1846448305144046,0.5773667609435306,62,0.3476642539126368,0.9999999998347942
Secondary BER / Secondary HAH,1.1152458704570805,0.39534693587728265,62,0.3076925911998374,0.9999999999724147
Secondary BER / (Primary-High elev. LIT),1.1244330511182707,0.4353962462515906,62,0.3028788908698819,0.9999999999781195
Fragment LIT / Secondary SYZ,1.11162980416722,0.3952826056172629,62,0.2976116374014356,0.9999999999831095
Secondary LIT / Secondary SYZ,1.1047402727743627,0.39439339447814215,62,0.27901954604524143,0.9999999999935545
Secondary HAH / Secondary SYZ,1.0904116081906516,0.34893523810145627,62,0.2704824160464815,0.999999999995942
Secondary BER / Secondary LIT,1.1007809465288367,0.4273524939331059,62,0.24732944143219732,0.9999999999990419
Fragment BER / Secondary BER,0.941153536968354,0.36633829825135217,62,-0.15581229389019619,1
Fragment BER / Secondary HAH,1.049617595570032,0.37522745374287575,62,0.13546098375609855,1
Fragment BER / Fragment LIT,1.029583055510229,0.40130381616101796,62,0.0747971502675924,1
Fragment BER / Primary LIT,1.1149326722899082,0.5457169408738757,62,0.22227275313757072,1
Fragment BER / (Primary-High elev. LIT),1.0582641431440787,0.4127311274723325,62,0.1452021846174866,1
Fragment BER / Secondary LIT,1.0360038812529873,0.40504583160025376,62,0.09046971153795019,1
Fragment BER / (Primary-High elev. SYZ),1.0007837846062297,0.35589256758879473,62,0.0022031695982838314,1
Primary BER / (Primary-High elev. BER),1.0164883582635789,0.33693295466837975,62,0.049337857895659094,1
Primary BER / (Primary-High elev. HAH),1.0373811517421117,0.3885173857517689,62,0.09799118851306012,1
(Primary-High elev. BER) / (Primary-High elev. HAH),1.0205538935184884,0.38056708702806225,62,0.054559873880909444,1
Secondary BER / Fragment LIT,1.093958652938525,0.4233557667276369,62,0.23205227604644676,1
Secondary BER / (Primary-High elev. SYZ),1.063358681974417,0.37490214638908836,62,0.17424479278429458,1
Secondary HAH / Fragment LIT,0.9809125341035059,0.34821371447060934,62,-0.054288872657555005,1
Secondary HAH / Primary LIT,1.0622274978959405,0.4912165907441114,62,0.13054256390120408,1
Secondary HAH / (Primary-High elev. LIT),1.0082378073791254,0.35814277621801083,62,0.023095943500354398,1
Secondary HAH / Secondary LIT,0.9870298341276841,0.35172708340028247,62,-0.036635470655488604,1
Secondary HAH / (Primary-High elev. SYZ),0.9534746643254571,0.30235144610764836,62,-0.1502418667955168,1
Fragment LIT / Primary LIT,1.0828972624626023,0.5283382951465869,62,0.16323262333658178,1
Fragment LIT / (Primary-High elev. LIT),1.027856992673249,0.39838431570321703,62,0.07088995235560815,1
Fragment LIT / Secondary LIT,1.0062363358724629,0.3910975888084277,62,0.01599534667510592,1
Fragment LIT / (Primary-High elev. SYZ),0.9720282198217344,0.3431331573294552,62,-0.08036783925647083,1
Primary LIT / (Primary-High elev. LIT),0.949173137935369,0.4633059238367575,62,-0.10686830614309122,1
Primary LIT / Secondary LIT,0.9292075719022451,0.45418985408923374,62,-0.1502132358627315,1
Primary LIT / (Primary-High elev. SYZ),0.8976181337934662,0.4138600107613522,62,-0.23426332217608842,1
Primary LIT / Secondary SYZ,1.0265330264472896,0.475425495554286,62,0.05654293866286854,1
(Primary-High elev. LIT) / Secondary LIT,0.9789653065018752,0.3806987558530908,62,-0.05466762453873382,1
(Primary-High elev. LIT) / (Primary-High elev. SYZ),0.9456842992269623,0.3340301715150839,62,-0.15810890985717865,1
(Primary-High elev. LIT) / Secondary SYZ,1.0815023997415192,0.3847745561879184,62,0.2202250475562524,1
Secondary LIT / (Primary-High elev. SYZ),0.9660038950779211,0.34235933052268114,62,-0.09759212709944648,1
