cond((Int)),disp((Int)),cond(guild),cond(Hab),cond(Spec),cond(Treatment),cond(guild:Hab),cond(guild:Spec),cond(guild:Treatment),cond(Hab:Spec),cond(Hab:Treatment),cond(Spec:Treatment),cond(guild:Hab:Spec),cond(guild:Hab:Treatment),cond(guild:Spec:Treatment),cond(Hab:Spec:Treatment),cond(guild:Hab:Spec:Treatment),df,logLik,AICc,delta,weight
1.7661697625940842,+,+,+,+,+,+,NA,NA,+,+,+,NA,NA,NA,+,NA,47,-676.4284267544582,1463.445088803034,24.76760088773085,2.09448291111913e-06
2.137757717628057,+,+,+,+,+,+,NA,NA,+,NA,+,NA,NA,NA,NA,NA,35,-692.698138819047,1464.2695170747138,25.592029159410686,1.38692985462067e-06
2.0843905417670054,+,+,+,+,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,NA,29,-700.1612620951149,1464.3225241902298,25.645036274926724,1.35065412055037e-06
2.1765436711019697,+,+,+,+,+,+,NA,NA,+,NA,NA,NA,NA,NA,NA,NA,32,-697.4801719850398,1466.3192289875012,27.6417410721981,4.9769721454251e-07
2.631833430436081,+,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,-709.8410796084951,1467.0895666243975,28.41207870909443,3.38601219315028e-07
1.8227670769391975,+,+,+,+,+,+,NA,NA,+,+,+,NA,NA,NA,NA,NA,38,-690.4789122698747,1467.5058672443758,28.82837932907273,2.74972958678072e-07
1.7960878725317748,+,+,+,+,+,+,NA,+,+,+,+,NA,NA,NA,+,NA,50,-674.4886014839677,1467.936310774627,29.2588228593238,2.21727909131763e-07
2.168309990462534,+,+,+,+,+,+,NA,+,+,NA,+,NA,NA,NA,NA,NA,38,-691.0572648002423,1468.6625723051109,29.985084389807753,1.54210758794461e-07
2.219102020276231,+,+,+,+,+,NA,+,NA,+,NA,+,NA,NA,NA,NA,NA,35,-695.2493515737581,1469.371942584136,30.694454668832805,1.08162539472724e-07
1.8734132029295536,+,+,+,+,+,+,NA,NA,+,+,NA,NA,NA,NA,NA,NA,35,-695.4478906751622,1469.769020786944,31.091532871640993,8.86854632748209e-08
2.068768449791701,+,+,+,NA,+,+,NA,+,NA,+,NA,NA,+,NA,NA,NA,35,-695.6502211535532,1470.173681743726,31.496193828422975,7.24404982484946e-08
2.200154898323657,+,+,+,+,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,NA,35,-695.8900813810839,1470.6534021987875,31.97591428348437,5.69916795029039e-08
1.8678583746474968,+,+,+,+,+,NA,+,NA,+,+,+,NA,NA,NA,+,NA,47,-680.185091540938,1470.9584183759935,32.28093046069034,4.89303175392173e-08
2.275908257889796,+,+,+,+,+,NA,+,NA,+,NA,NA,NA,NA,NA,NA,NA,32,-699.8596675023775,1471.0782200221768,32.40073210687365,4.60854080570993e-08
